Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
belzutifan,D,"Según los hallazgos de estudios realizados en animales, belzutifan puede causar daño fetal, incluida pérdida fetal: la administración de belzutifan a ratas preñadas durante la organogénesis causó letalidad embriofetal, reducción del peso corporal fetal y anomalías esqueléticas fetales.",Agentes antineoplásicos,,
clorhidrato de bendamustina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
bendrofluazida,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
benralizumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
benserazida,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
benserazida/levodopa,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
penicilina benzatínica,A,,Antimicrobianos,Antibióticos,penicilinas
benzatropina,B2,,Sistema nervioso central,Agentes antiparkinsonianos,
benzhexol (trihexifenidilo),B1,,Sistema nervioso central,Agentes antiparkinsonianos,
peróxido de benzoilo / adapaleno,D,"Se han reportado casos aislados de defectos congénitos en bebés nacidos de mujeres que usan este medicamento. Debido al riesgo potencial de efectos adversos en el desarrollo fetal, adapaleno no debe ser usado por mujeres embarazadas o que planeen quedar embarazadas durante el tratamiento.",,,
peróxido de benzoilo / clindamicina,A,,Antimicrobianos,Antimicrobianos tópicos,
bencidamina (tópica orofaríngea),B2,,Preparaciones bucales,,
benzoato de bencilo,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,
bencilpenicilina,A,,Antimicrobianos,Antibióticos,penicilinas
betahistina,B2,,Sistema cardiovascular,Vasodilatadores,
acetato de betametasona / betametasona,do,,Sistema endocrino,Corticosteroides,
dipropionato de betametasona,B3,,Sistema endocrino,Corticosteroides,
dipropionato de betametasona/calcipotriol,B3,,Medicamentos utilizados en dermatología,Actual,
valerato de betametasona,B3,,Sistema endocrino,Corticosteroides,
betaxolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
betaxolol (oftálmico),do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
betanecol,B2,Este medicamento tiene un potente efecto excitatorio sobre el músculo liso y debe evitarse durante el embarazo.,Agentes colinérgicos y anticolinérgicos,,
betanecol,B2,El betanecol tiene un potente efecto excitador sobre el músculo liso y debe evitarse durante el embarazo.,Sistema genitourinario,Trastornos de la función de la vejiga,
bevacizumab,D,"Se sabe que los anticuerpos IgG atraviesan la barrera placentaria, y este fármaco puede inhibir la angiogénesis fetal. Se ha demostrado que la angiogénesis es crucial para el desarrollo fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
bevantolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
bezlotoxumab,B2,,Alergia y sistema inmunológico,Inmunomodificadores,
bicalutamida,D,La administración oral de este fármaco a ratas al final de la gestación y durante la lactancia provocó la feminización de las crías macho.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
bictegravir/emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,
bifonazol,B3,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",
bilastina,B3,,Alergia y sistema inmunológico,Antihistamínicos,
bimatoprost,B3,,Medicamentos oftálmicos,,
bimatoprost/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
bimekizumab,do,"Basándose en el mecanismo de acción de bimekizumab, no se puede excluir el riesgo teórico de que su uso durante el embarazo pueda afectar la inmunidad neonatal.",Alergia y sistema inmunológico,Inmunomodificadores,
binimetinib,D,"Según los resultados de estudios en animales, binimetinib puede ser perjudicial para el feto. No debe administrarse durante el embarazo a menos que los beneficios para la madre superen claramente los riesgos para el feto.",Agentes antineoplásicos,,
bioaletrina,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,
biperideno,B2,,Sistema nervioso central,Agentes antiparkinsonianos,
bisacodilo,A,,Sistema alimentario,Laxantes,
subcitrato de bismuto,B2,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
bisoprolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
bivalirudina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
bleomicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
blinatumomab (rch),do,,Agentes antineoplásicos,anticuerpos monoclonales,
boceprevir,B2,,Antimicrobianos,agentes antivirales,
boceprevir con ribavirina y peginterferón alfa,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
bortezomib,do,"Si se produce una transferencia placentaria suficiente, el bortezomib tiene el potencial de alterar el ciclo de proteínas en el feto en desarrollo y, por lo tanto, puede tener un efecto adverso en el desarrollo fetal.",Agentes antineoplásicos,,
bosentán,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,
toxina botulínica tipo A,B3,,Sistema musculoesquelético,relajantes musculares,
brentuximab vedotina,D,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria y este medicamento se une al receptor del factor de crecimiento epidérmico que participa en el desarrollo fetal.,Agentes antineoplásicos,anticuerpos monoclonales,
tosilato de bretilio,do,Este medicamento conlleva el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antiarrítmicos,
brexpiprazol,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de presentar síntomas extrapiramidales o de abstinencia después del parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado; mientras que en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada.",Sistema nervioso central,fármacos antipsicóticos,
 brexucabtagene autoleucel,do,"Según el mecanismo de acción, si las células transducidas atraviesan la placenta, pueden causar toxicidad fetal, incluida linfocitopenia de células B.",Agentes antineoplásicos,,
brigatinib,D," Brigatinib puede causar daño fetal si se administra a mujeres embarazadas. Estudios en animales han mostrado toxicidad reproductiva. En ratas embarazadas tratadas con dosis aproximadamente equivalentes a la dosis humana, se observaron anomalías y malformaciones esqueléticas o viscerales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
brimonidina/brinzolamida,B3,,Medicamentos oftálmicos,,
brimonidina/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
tartrato de brimonidina,B3,,Medicamentos oftálmicos,,
brinzolamida,B3,,Medicamentos oftálmicos,,
brinzolamida/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
brivaracetam,B3,,Sistema nervioso central,Anticonvulsivos/antiepilépticos,
brolucizumab,D," Basándose en su mecanismo de acción, el brolucizumab se considera potencialmente teratogénico y embrio/fetotóxico.",Medicamentos oftálmicos,,
bromazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
bromhexina,A,,Sistema respiratorio,Expectorantes y mucolíticos,
bromocriptina (inyección),B2,,Sistema endocrino,Inhibidores de la hipófisis,
bromocriptina (oral),A,,Sistema endocrino,Inhibidores de la hipófisis,
bromfeniramina,A,,Alergia y sistema inmunológico,Antihistamínicos,
budesonida,A,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal
budesonida,A,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas
budesonida (sistémica),B3,,Sistema alimentario,Antidiarreicos,
 bulevirtida,B1,,Antimicrobianos,agentes antivirales,
bumetanida,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
bupivacaína,A,,Medicamentos utilizados en anestesia,Anestésicos locales,
bupivacaína/fentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes no esteroides y antiinflamatorios),
buprenorfina,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
bupropión,B2,,Agentes utilizados en estados de dependencia,,
burosumab,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
buspirona,B1,,Sistema nervioso central,Agentes ansiolíticos,
busulfán,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
butoconazol,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
